date, pm25, o3, no2, so2, co
2021/4/1, 106, 46, 15, 6, 
2021/4/2, 110, 47, 11, 6, 
2021/4/3, 118, 58, 16, 7, 
2021/4/4, 112, 71, 17, 7, 
2021/4/5, 146, 73, 11, 7, 
2021/4/6, 168, 57, 16, 7, 
2021/4/7, 167, 43, 18, 6, 
2021/4/8, 169, 36, 13, 6, 
2021/4/9, 111, 30, 19, 7, 
2021/4/10, 117, 32, 5, 6, 
2021/4/11, 120, 32, 17, 7, 
2021/4/12, 125, 32, 17, 6, 
2021/4/13, 136, 27, 15, 7, 
2021/4/14, 130, 34, 18, 7, 
2021/4/15, 137, 45, 19, 7, 
2021/4/16, 160, 32, 8, 7, 
2021/4/17, 112, 34, 7, 7, 
2021/4/18, 100, 30, 14, 7, 
2021/4/19, 104, 36, 52, 6, 
2021/4/20, 116, , , , 
2021/3/1, 260, 27, 21, 7, 
2021/3/2, 241, 27, 24, 7, 
2021/3/3, 217, 29, 30, 8, 
2021/3/4, 229, 3, 43, 9, 
2021/3/5, 184, 25, 24, 7, 
2021/3/6, 108, 36, 21, 7, 
2021/3/7, 155, 41, 8, 6, 
2021/3/8, 167, 46, 16, 6, 
2021/3/9, 167, 49, 44, 6, 
2021/3/10, 178, 46, 22, 6, 
2021/3/11, 180, 47, 21, 5, 
2021/3/12, 150, 41, 19, 5, 
2021/3/13, 94, 31, 19, 5, 
2021/3/14, 101, 36, 20, 6, 
2021/3/15, 133, 32, 17, 6, 
2021/3/16, 158, 21, 21, 8, 
2021/3/17, 171, 25, 31, 8, 
2021/3/18, 183, 25, 28, 9, 
2021/3/19, 172, 26, 22, 12, 
2021/3/20, 157, 33, 21, 12, 
2021/3/21, 159, 33, 28, 10, 
2021/3/22, 159, 28, 16, 10, 
2021/3/23, 130, 16, 13, 8, 
2021/3/24, 134, , 19, , 
2021/3/25, 137, 59, 16, 2, 
2021/3/26, 95, 61, 24, 2, 
2021/3/27, 132, 74, 18, 2, 
2021/3/28, 145, 68, , 2, 
2021/3/29, 166, 49, 53, 2, 
2021/3/30, 158, 41, 13, 2, 
2021/3/31, 125, 42, 16, 3, 
2021/2/1, 187, 33, 22, 11, 
2021/2/2, 196, 34, 18, 9, 
2021/2/3, 172, 33, 18, 6, 
2021/2/4, 170, 21, 15, 6, 
2021/2/5, 144, 23, 16, 6, 
2021/2/6, 136, 28, 20, 7, 
2021/2/7, 150, 31, 25, 7, 
2021/2/8, 206, 32, 22, 7, 
2021/2/9, 187, 37, 28, 7, 
2021/2/10, 212, 29, 26, 7, 
2021/2/11, 206, 31, 21, 7, 
2021/2/12, 197, 32, 28, 7, 
2021/2/13, 222, 30, 24, 7, 
2021/2/14, 185, 31, 31, 7, 
2021/2/15, 209, 31, 25, 7, 
2021/2/16, 183, 27, 24, 8, 
2021/2/17, 143, 24, 30, 7, 
2021/2/18, 158, 29, 18, 7, 
2021/2/19, 164, 28, 33, 8, 
2021/2/20, 168, 25, 23, 8, 
2021/2/21, 164, 28, 29, 7, 
2021/2/22, 175, 30, 27, 7, 
2021/2/23, 171, 27, 26, 8, 
2021/2/24, 139, 26, 18, 7, 
2021/2/25, 143, 23, 25, 8, 
2021/2/26, 139, 17, , 8, 
2021/2/27, 242, 22, , 8, 
2021/2/28, 824, 22, 17, 8, 
2021/1/4, 222, 21, 25, 7, 
2021/1/5, 212, 36, 30, 7, 
2021/1/6, 193, 26, 18, 7, 
2021/1/7, 133, 21, 14, 7, 
2021/1/8, 162, 22, 26, 7, 
2021/1/9, 164, 29, 14, 7, 
2021/1/10, 156, 23, 13, 7, 
2021/1/11, 159, 23, 15, 7, 
2021/1/12, 175, 21, 21, 6, 
2021/1/13, 195, 20, 19, 6, 
2021/1/14, 216, 22, 21, 7, 
2021/1/15, 224, 29, 21, 7, 
2021/1/16, 195, 18, 17, 7, 
2021/1/17, 197, 25, 21, 7, 
2021/1/18, 241, 24, 30, 7, 
2021/1/19, 251, 17, 19, 5, 
2021/1/20, 190, 19, 14, 5, 
2021/1/21, 173, 8, 19, 6, 
2021/1/22, 218, 10, 16, 7, 
2021/1/23, 228, 17, 19, 7, 
2021/1/24, 188, 11, 14, 7, 
2021/1/25, 191, 27, 14, 6, 
2021/1/26, 181, 24, 21, 6, 
2021/1/27, 208, 28, 21, 8, 
2021/1/28, 216, 27, 15, 8, 
2021/1/29, 169, 30, 19, 9, 
2021/1/30, 176, 36, 22, 9, 
2021/1/31, 195, 37, 23, 9, 
2020/10/1, 150, 28, 11, 4, 
2020/10/2, 138, 22, 12, 4, 
2020/10/3, 142, 31, 11, 6, 
2020/10/4, 137, 29, 15, 8, 
2020/10/5, 140, 40, 19, 9, 
2020/10/6, 150, 34, 16, 6, 
2020/10/7, 167, 35, 14, 8, 
2020/10/8, 146, 33, 23, 8, 
2020/10/9, 146, 36, 24, 7, 
2020/10/10, 155, 37, 13, 6, 
2020/10/11, 145, 36, 10, 3, 
2020/10/12, 147, 29, 9, 5, 
2020/10/13, 145, 23, 9, 4, 
2020/10/14, 152, 23, 10, 6, 
2020/10/15, 146, 41, 16, 5, 
2020/10/16, 158, 63, 15, 5, 
2020/10/17, 192, 67, 20, 5, 
2020/10/18, 162, 47, 30, 5, 
2020/10/19, 240, 39, 28, 4, 
2020/10/20, 214, , 21, 4, 
2020/10/21, 197, 7, 18, 4, 
2020/10/22, 240, 9, 21, 5, 
2020/10/23, 224, 8, 24, 5, 
2020/10/24, 175, 9, 29, 5, 
2020/10/25, 185, 29, 26, 7, 
2020/10/26, 240, 23, 30, 8, 
2020/10/27, 250, 23, 29, 6, 
2020/10/28, 283, 24, 25, 5, 
2020/10/29, 150, 22, 5, 8, 
2020/10/30, 143, 23, , 7, 
2020/10/31, 150, 28, , 9, 
2020/11/1, 184, 17, 39, 8, 
2020/11/2, 179, 5, 52, 8, 
2020/11/3, 177, 7, 32, 9, 
2020/11/4, 236, 7, 39, 9, 
2020/11/5, 344, 13, 38, 9, 
2020/11/6, 254, 11, 36, 8, 
2020/11/7, 332, 12, 38, 7, 
2020/11/8, 324, 1, 33, 5, 
2020/11/9, 290, 1, 26, 5, 
2020/11/10, 174, 1, 43, 5, 
2020/11/11, 229, 1, 19, 5, 
2020/11/12, 282, 5, 18, 5, 
2020/11/13, 157, 12, 20, 10, 
2020/11/14, 227, 13, 15, 8, 
2020/11/15, 305, 5, 10, 5, 
2020/11/16, 190, 3, 15, 6, 
2020/11/17, 191, 9, 32, 5, 
2020/11/18, 125, 1, 28, 6, 
2020/11/19, 174, 4, 22, 6, 
2020/11/20, 138, 1, 18, 6, 
2020/11/21, 129, 1, 20, 7, 
2020/11/22, 133, 23, 38, 9, 
2020/11/23, 192, 35, 36, 7, 
2020/11/24, 207, 33, 24, 5, 
2020/11/25, 208, 25, 21, 6, 
2020/11/26, 239, 16, 29, 5, 
2020/11/27, 144, 15, 26, 3, 
2020/11/28, 142, 23, 28, 3, 
2020/11/29, 158, 26, 20, 3, 
2020/11/30, 165, 38, 34, 17, 
2020/12/1, 197, 23, 35, 6, 
2020/12/2, 252, 23, 39, 5, 
2020/12/3, 325, 27, 41, 5, 
2020/12/4, 286, 33, 39, 5, 
2020/12/5, 266, 44, 47, 4, 
2020/12/6, 201, 39, 48, 4, 
2020/12/7, 248, 28, 109, 4, 
2020/12/8, 268, 19, 26, 5, 
2020/12/9, 254, 21, 20, 5, 
2020/12/10, 192, 4, 19, 5, 
2020/12/11, 200, 16, 22, 5, 
2020/12/12, 195, 15, 16, 5, 
2020/12/13, 155, 15, 17, 5, 
2020/12/14, 161, 23, 13, 5, 
2020/12/15, 166, 15, 23, 5, 
2020/12/16, 585, 18, 18, 5, 
2020/12/17, 137, 18, 18, 5, 
2020/12/18, 232, 20, 20, 5, 
2020/12/19, 285, 19, 20, 5, 
2020/12/20, 282, 23, 31, 4, 
2020/12/21, 298, 20, 29, 4, 
2020/12/22, 310, 26, 26, 4, 
2020/12/23, 261, 25, 35, 4, 
2020/12/24, 317, 21, 21, 5, 
2020/12/25, 215, 23, 30, 5, 
2020/12/26, 196, 27, 20, 5, 
2020/12/27, 213, 26, 22, 5, 
2020/12/28, 222, 18, 23, 5, 
2020/12/29, 266, 26, 20, 5, 
2020/12/30, 201, 17, 20, 6, 
2020/12/31, 207, 22, 30, 7, 
2021/1/1, 380, 25, 33, 7, 
2021/1/2, 254, 22, 28, 7, 
2021/1/3, 260, 13, 37, 7, 
2020/7/1, 142, 32, 4, 7, 
2020/7/2, 126, 29, 3, 5, 
2020/7/3, 110, 33, 3, 6, 
2020/7/4, 101, 30, 3, 6, 
2020/7/5, 62, 24, 6, 6, 
2020/7/6, 76, 22, 2, 5, 
2020/7/7, 63, 28, 5, 6, 
2020/7/8, 135, 29, 8, 6, 
2020/7/9, 68, 28, 4, 5, 
2020/7/10, 48, 34, 2, 5, 
2020/7/11, 57, 31, 2, 5, 
2020/7/12, 53, 35, 4, 8, 
2020/7/13, 68, 25, 3, 5, 
2020/7/14, 67, 27, 2, 5, 
2020/7/15, 71, 24, 1, 5, 
2020/7/16, 81, 24, 1, 3, 
2020/7/17, 85, 23, 2, 3, 
2020/7/18, 83, 21, 2, 3, 
2020/7/19, 65, 20, 3, 3, 
2020/7/20, 45, 23, 2, 2, 
2020/7/21, 62, 23, 3, 3, 
2020/7/22, 48, 25, 4, 3, 
2020/7/23, 73, 16, 1, 3, 
2020/7/24, 69, 23, , 3, 
2020/7/25, 83, 29, 3, 3, 
2020/7/26, 91, 28, 5, 3, 
2020/7/27, 63, 23, 3, 3, 
2020/7/28, 57, 23, 3, 3, 
2020/7/29, 56, 22, 3, 3, 
2020/7/30, 67, 18, 7, 3, 
2020/7/31, 80, 23, 2, 3, 
2020/8/1, 78, 29, 5, 4, 
2020/8/2, 70, 27, 5, 5, 
2020/8/3, 66, 32, 6, 6, 
2020/8/4, 67, 21, 3, 5, 
2020/8/5, 71, 24, 2, 5, 
2020/8/6, 54, 23, 11, 5, 
2020/8/7, 96, 28, 2, 5, 
2020/8/8, 86, 23, 1, 5, 
2020/8/9, 74, 24, 1, 5, 
2020/8/10, 78, 23, 2, 5, 
2020/8/11, 91, 24, 3, 5, 
2020/8/12, 56, 24, 3, 5, 
2020/8/13, 46, 20, 4, 6, 
2020/8/14, 60, 20, 1, 5, 
2020/8/15, 73, 20, 1, 5, 
2020/8/16, 51, 22, 2, 5, 
2020/8/17, 61, 21, 2, 3, 
2020/8/18, 81, 20, 5, 2, 
2020/8/19, 57, 19, 3, 2, 
2020/8/20, 55, 16, 1, 2, 
2020/8/21, 50, 17, , 2, 
2020/8/22, 59, 21, , 3, 
2020/8/23, 127, 15, 2, 3, 
2020/8/24, 58, 20, 5, 3, 
2020/8/25, 55, 18, 7, 3, 
2020/8/26, 96, 17, 4, 3, 
2020/8/27, 85, 19, 4, 3, 
2020/8/28, 59, 20, 2, 3, 
2020/8/29, 59, 19, 3, 3, 
2020/8/30, 44, 20, 7, 4, 
2020/8/31, 65, 26, 9, 4, 
2020/9/1, 57, 20, 6, 6, 
2020/9/2, 125, 20, 4, 8, 
2020/9/3, 81, 26, 4, 6, 
2020/9/4, 94, 27, 4, 7, 
2020/9/5, 120, 28, 3, 7, 
2020/9/6, 61, 31, 5, 7, 
2020/9/7, 66, 28, 7, 7, 
2020/9/8, 87, 30, 8, 7, 
2020/9/9, 95, 36, 6, 6, 
2020/9/10, 106, 36, 4, 5, 
2020/9/11, 126, 25, 4, 4, 
2020/9/12, 112, 25, 6, 4, 
2020/9/13, 109, 24, 4, 5, 
2020/9/14, 147, 31, 5, 5, 
2020/9/15, 123, 23, 6, 4, 
2020/9/16, 120, 26, 32, 5, 
2020/9/17, 128, 30, 5, 4, 
2020/9/18, 133, 22, 4, 4, 
2020/9/19, 105, 24, 5, 4, 
2020/9/20, 79, 22, 6, 4, 
2020/9/21, 112, 16, 3, 4, 
2020/9/22, 66, 13, 3, 4, 
2020/9/23, 114, 10, 3, 4, 
2020/9/24, 88, 15, 7, 4, 
2020/9/25, 149, 24, 9, 5, 
2020/9/26, 125, 27, 14, 5, 
2020/9/27, 162, 25, 15, 6, 
2020/9/28, 173, 29, 19, 7, 
2020/9/29, 150, 28, 16, 6, 
2020/9/30, 152, 32, 11, 5, 
2020/4/1, 92, 26, 2, 5, 
2020/4/2, 77, 31, 3, 5, 
2020/4/3, 69, 23, 3, 5, 
2020/4/4, 69, 22, 3, 5, 
2020/4/5, 261, 20, 3, 5, 
2020/4/6, 91, 20, 10, 5, 
2020/4/7, 99, 22, 5, 5, 
2020/4/8, 95, 23, 4, 5, 
2020/4/9, 89, 27, 4, 6, 
2020/4/10, 120, 21, 8, 6, 
2020/4/11, 108, 19, 5, 4, 
2020/4/12, 97, 20, 6, 7, 
2020/4/13, 106, 24, 6, 7, 
2020/4/14, 97, 20, 5, 5, 
2020/4/15, 108, 33, 11, 5, 
2020/4/16, 103, 30, 20, 6, 
2020/4/17, 113, 28, 5, 4, 
2020/4/18, 137, 31, 5, 7, 
2020/4/19, 149, 24, 8, 4, 
2020/4/20, 144, 27, 8, 4, 
2020/4/21, 116, 27, 8, 4, 
2020/4/22, 142, 25, 10, 7, 
2020/4/23, 114, 31, 7, 5, 
2020/4/24, 130, 27, 7, 5, 
2020/4/25, 142, 26, 5, 4, 
2020/4/26, 85, 27, 6, 5, 
2020/4/27, 79, 25, 7, 5, 
2020/4/28, 108, 25, 6, 5, 
2020/4/29, 139, 28, 7, 7, 
2020/4/30, 129, 19, 5, 4, 
2020/5/1, 134, 19, 5, 4, 
2020/5/2, 99, 22, 6, 5, 
2020/5/3, 112, 20, 8, 6, 
2020/5/4, 73, 16, 7, 4, 
2020/5/5, 107, 19, 6, 5, 
2020/5/6, 118, 17, 5, 5, 
2020/5/7, 121, 38, 5, 7, 
2020/5/8, 110, 38, 5, 7, 
2020/5/9, 112, 25, 3, 5, 
2020/5/10, 135, 29, 6, 7, 
2020/5/11, 99, 23, 6, 7, 
2020/5/12, 103, 23, 7, 9, 
2020/5/13, 126, 19, 6, 7, 
2020/5/14, 114, 21, 7, 8, 
2020/5/15, 94, , , , 
2020/5/18, 103, 21, 8, 6, 
2020/5/19, 125, 20, 7, 8, 
2020/5/20, 126, 26, 7, 10, 
2020/5/21, 102, 31, 10, 8, 
2020/5/22, 126, 22, 5, 5, 
2020/5/23, 94, 23, 17, 7, 
2020/5/24, 118, 22, 10, 6, 
2020/5/25, 102, 30, 11, 6, 
2020/5/26, 123, 25, 8, 6, 
2020/5/27, 126, 19, 4, 4, 
2020/5/28, 68, 19, 4, 5, 
2020/5/29, 110, 14, 4, 5, 
2020/5/30, 109, 13, 6, 5, 
2020/5/31, 85, 26, 6, 5, 
2020/6/1, 103, 24, 5, 5, 
2020/6/2, 91, 31, 7, 11, 
2020/6/3, 132, 25, 4, 7, 
2020/6/4, 106, 23, 4, 6, 
2020/6/5, 71, 31, 3, 6, 
2020/6/6, 104, 35, 5, 7, 
2020/6/7, 84, 24, 6, 11, 
2020/6/8, 107, 24, 6, 5, 
2020/6/9, 140, 25, 5, 5, 
2020/6/10, 154, 20, 5, 5, 
2020/6/11, 134, 18, 4, 5, 
2020/6/12, 105, 17, 3, 5, 
2020/6/13, 83, 15, 3, 5, 
2020/6/14, 76, 22, 4, 5, 
2020/6/15, 81, 22, 3, 4, 
2020/6/16, 59, 20, 4, 4, 
2020/6/17, 71, 17, 3, 4, 
2020/6/18, 74, 14, 2, 4, 
2020/6/19, 69, 20, 2, 4, 
2020/6/20, 70, 16, 2, 4, 
2020/6/21, 62, 14, 2, 4, 
2020/6/22, 63, 15, 4, 4, 
2020/6/23, 67, 20, 3, 4, 
2020/6/24, 87, 12, 5, 5, 
2020/6/25, 84, 20, 3, 4, 
2020/6/26, 74, 22, 3, 4, 
2020/6/27, 71, , , , 
2020/6/29, 179, 21, 7, 4, 
2020/6/30, 182, 29, 4, 6, 
2020/1/1, 211, 13, 19, 7, 
2020/1/2, 196, 7, 13, 6, 
2020/1/3, 187, 9, 17, 7, 
2020/1/4, 140, 10, 19, 8, 
2020/1/5, 164, 9, 19, 7, 
2020/1/6, 162, 9, 20, 9, 
2020/1/7, 203, 7, 15, 8, 
2020/1/8, 187, 6, 14, 9, 
2020/1/9, 158, 8, 13, 9, 
2020/1/10, 155, 11, 19, 11, 
2020/1/11, 195, 13, 22, 10, 
2020/1/12, 233, 4, 13, 7, 
2020/1/13, 195, 10, 21, 9, 
2020/1/14, 195, 2, 25, 10, 
2020/1/15, 207, 7, 8, 5, 
2020/1/16, 100, 8, 11, 8, 
2020/1/17, 123, 5, 14, 8, 
2020/1/18, 135, 7, 16, 8, 
2020/1/19, 128, 8, 15, 8, 
2020/1/20, 164, 2, 22, 11, 
2020/1/21, 182, 5, 26, 11, 
2020/1/22, 181, 15, 20, 10, 
2020/1/23, 134, 24, 23, 10, 
2020/1/24, 142, 34, 34, 10, 
2020/1/25, 191, 22, 34, 10, 
2020/1/26, 212, 32, 43, 10, 
2020/1/27, 185, 30, 24, 8, 
2020/1/28, 192, 26, 20, 8, 
2020/1/29, 171, 20, 27, 9, 
2020/1/30, 96, 23, 31, 13, 
2020/1/31, 131, 23, 32, 9, 
2020/2/1, 147, 22, 28, 9, 
2020/2/2, 157, 24, 39, 10, 
2020/2/3, 188, 35, 35, 11, 
2020/2/4, 179, 23, 21, 7, 
2020/2/5, 139, 27, 19, 8, 
2020/2/6, 132, 29, 19, 7, 
2020/2/7, 139, 25, 23, 9, 
2020/2/8, 148, 33, 23, 8, 
2020/2/9, 160, 34, 23, 8, 
2020/2/10, 156, 34, 26, 9, 
2020/2/11, 154, 30, 25, 8, 
2020/2/12, 163, 19, 27, 7, 
2020/2/13, 142, 19, 20, 5, 
2020/2/14, 104, 22, 24, 7, 
2020/2/15, 95, 33, 28, 7, 
2020/2/16, 146, 32, 26, 5, 
2020/2/17, 174, 36, 25, 7, 
2020/2/18, 145, 44, 25, 8, 
2020/2/19, 173, 38, 10, 5, 
2020/2/20, 141, 31, 7, 5, 
2020/2/21, 138, 25, 9, 5, 
2020/2/22, 90, , , , 
2020/2/24, 148, 42, 9, 4, 
2020/2/25, 75, 42, 10, 5, 
2020/2/26, 91, 40, 10, 7, 
2020/2/27, 98, 41, 14, 6, 
2020/2/28, 125, 39, 14, 5, 
2020/2/29, 145, 34, 12, 5, 
2020/3/1, 125, 32, 21, 6, 
2020/3/2, 140, 17, 27, 8, 
2020/3/3, 110, 35, 18, 8, 
2020/3/4, 128, 31, 11, 6, 
2020/3/5, 118, 24, 18, 4, 
2020/3/6, 93, 28, 6, 5, 
2020/3/7, 64, 29, 13, 7, 
2020/3/8, 134, 29, 14, 5, 
2020/3/9, 97, 37, 11, 6, 
2020/3/10, 149, 39, 9, 9, 
2020/3/11, 127, 30, 8, 9, 
2020/3/12, 136, 28, 7, 8, 
2020/3/13, 97, 36, 7, 5, 
2020/3/14, 79, 32, 7, 6, 
2020/3/15, 92, 33, 13, 8, 
2020/3/16, 107, 34, 18, 14, 
2020/3/17, 117, 36, 17, 9, 
2020/3/18, 127, 38, 26, 7, 
2020/3/19, 138, 51, 19, 8, 
2020/3/20, 158, 33, 11, 3, 
2020/3/21, 119, , , , 
2020/3/25, 89, 25, 2, 6, 
2020/3/26, 75, 16, 3, 7, 
2020/3/27, 85, 28, 3, 3, 
2020/3/28, 73, 28, 2, 3, 
2020/3/29, 66, 32, 2, 4, 
2020/3/30, 71, 29, 4, 5, 
2020/3/31, 77, 26, 4, 5, 
2019/12/4, 203, 18, 38, 10, 4
2019/12/5, 246, 18, 61, 10, 4
2019/12/6, 249, 13, 35, 9, 4
2019/12/7, 211, 13, 35, 7, 4
2019/12/8, 183, 13, 32, 6, 4
2019/12/9, 197, 13, 30, 7, 4
2019/12/10, 202, 12, 35, 17, 4
2019/12/11, 202, 16, 39, 19, 
2019/12/12, 197, 13, 22, 13, 
2019/12/13, 142, 10, 8, 10, 
2019/12/14, 96, 16, 7, 11, 
2019/12/15, 129, 17, 16, 13, 
2019/12/16, 138, 16, 15, 11, 
2019/12/17, 149, 13, 14, 10, 
2019/12/18, 157, 11, 16, 10, 
2019/12/19, 299, 11, 14, 10, 
2019/12/20, 283, 7, 35, 16, 
2019/12/21, 279, 16, 28, 12, 
2019/12/22, 218, 12, 20, 10, 
2019/12/23, 202, 8, 16, 10, 
2019/12/24, 180, 7, 17, 9, 
2019/12/25, 164, 9, 19, 9, 
2019/12/26, 171, 6, 14, 7, 
2019/12/27, 195, 9, 20, 9, 
2019/12/28, 202, 8, 20, 9, 
2019/12/29, 184, 9, 16, 8, 
2020/5/17, , 25, 8, 4, 
2020/6/28, , 23, 4, 3, 
2019/12/31, , 10, 24, 7, 
2020/2/23, , 60, 12, 7, 
2020/3/24, , 19, 7, 4, 
2019/12/3, , 18, 17, 5, 6